진료년도,시도,시군구,성별,연령구분,환자수,입내원일수,요양급여비용
2018,서울,성동구,여,90~99세,160,4177,310812320
2018,서울,성동구,여,100세 이상,0,0,0
2018,서울,성북구,남,0~9세,0,0,0
2018,서울,성북구,남,10~19세,0,0,0
2018,서울,성북구,남,20~29세,0,0,0
2018,서울,성북구,남,30~39세,0,0,0
2018,서울,성북구,남,40~49세,0,0,0
2018,서울,성북구,남,50~59세,13,41,3237090
2018,서울,성북구,남,60~69세,52,484,34308460
2018,서울,성북구,남,70~79세,222,3117,259714370
2018,서울,성북구,남,80~89세,286,6023,466979210
2018,서울,성북구,남,90~99세,72,2290,173658030
2018,서울,성북구,남,100세 이상,0,0,0
2018,서울,성북구,여,0~9세,0,0,0
2018,서울,성북구,여,10~19세,0,0,0
2018,서울,성북구,여,20~29세,0,0,0
2018,서울,성북구,여,30~39세,0,0,0
2018,서울,성북구,여,40~49세,0,0,0
2018,서울,성북구,여,50~59세,0,0,0
2018,서울,성북구,여,60~69세,80,655,65509630
2018,서울,성북구,여,70~79세,452,8850,735355660
2018,서울,성북구,여,80~89세,715,27696,2144479040
2018,서울,성북구,여,90~99세,174,8104,607230260
2018,서울,성북구,여,100세 이상,0,0,0
2018,서울,영등포구,남,0~9세,0,0,0
2018,서울,영등포구,남,10~19세,0,0,0
2018,서울,영등포구,남,20~29세,0,0,0
2018,서울,영등포구,남,30~39세,0,0,0
2018,서울,영등포구,남,40~49세,12,62,5262320
2018,서울,영등포구,남,50~59세,44,593,55274890
2018,서울,영등포구,남,60~69세,184,3650,330796980
2018,서울,영등포구,남,70~79세,575,8440,745007250
2018,서울,영등포구,남,80~89세,544,12014,1033017290
2018,서울,영등포구,남,90~99세,94,3450,254118020
2018,서울,영등포구,남,100세 이상,0,0,0
2018,서울,영등포구,여,0~9세,0,0,0
2018,서울,영등포구,여,10~19세,0,0,0
2018,서울,영등포구,여,20~29세,0,0,0
2018,서울,영등포구,여,30~39세,0,0,0
2018,서울,영등포구,여,40~49세,11,31,4480290
2018,서울,영등포구,여,50~59세,47,325,32852500
2018,서울,영등포구,여,60~69세,254,1784,188234690
2018,서울,영등포구,여,70~79세,994,13112,1134939330
2018,서울,영등포구,여,80~89세,1461,52355,4081707880
