년도,시도,시군구,성별,환자수,입내원일수,요양급여비용
2018, 경기 , 안산상록구 , 여 ,1710,58710,4086214100
2018, 경기 , 평택시 , 남 ,1205,17563,1259189050
2018, 경기 , 평택시 , 여 ,2811,59103,4230700320
2018, 경기 , 하남시 , 남 ,186,6094,499451410
2018, 경기 , 하남시 , 여 ,576,21050,1599170420
2018, 경기 , 군포시 , 남 ,579,12210,868059750
2018, 경기 , 군포시 , 여 ,1556,41396,2917145170
2018, 경기 , 남양주시 , 남 ,1313,38021,2740155420
2018, 경기 , 남양주시 , 여 ,3352,127034,9092997720
2018, 경기 , 의왕시 , 남 ,337,21367,1589603050
2018, 경기 , 의왕시 , 여 ,867,54427,3964465360
2018, 경기 , 시흥시 , 남 ,875,38013,2764642040
2018, 경기 , 시흥시 , 여 ,2594,150472,10856982100
2018, 경기 , 오산시 , 남 ,408,11974,863606780
2018, 경기 , 오산시 , 여 ,1159,35451,2580392600
2018, 경기 , 고양덕양구 , 남 ,1695,23536,1484351790
2018, 경기 , 고양덕양구 , 여 ,4257,65927,3904056260
2018, 경기 , 고양일산서구 , 남 ,815,23835,1739810450
2018, 경기 , 고양일산서구 , 여 ,1797,62775,4511880020
2018, 경기 , 고양일산동구 , 남 ,1915,43460,3350230840
2018, 경기 , 고양일산동구 , 여 ,4359,138912,10709475070
2018, 경기 , 용인기흥구 , 남 ,1063,57817,4371744260
2018, 경기 , 용인기흥구 , 여 ,2374,143229,10662138880
2018, 경기 , 용인수지구 , 남 ,207,5080,396559650
2018, 경기 , 용인수지구 , 여 ,516,25798,1953225720
2018, 경기 , 용인처인구 , 남 ,515,13106,901898010
2018, 경기 , 용인처인구 , 여 ,1360,49344,3501217250
2018, 경기 , 이천시 , 남 ,386,14158,1023594500
2018, 경기 , 이천시 , 여 ,1038,52154,3736212100
2018, 경기 , 파주시 , 남 ,1043,77130,5727237570
2018, 경기 , 파주시 , 여 ,2175,188853,13897073870
2018, 경기 , 김포시 , 남 ,886,19024,1440609860
2018, 경기 , 김포시 , 여 ,1768,39223,2795315040
2018, 경기 , 안성시 , 남 ,658,22950,1622420270
2018, 경기 , 안성시 , 여 ,1730,86708,6015876460
2018, 경기 , 화성시 , 남 ,651,21111,1538186050
2018, 경기 , 화성시 , 여 ,1753,77884,5492908560
2018, 경기 , 광주시 , 남 ,574,16041,1144631620
2018, 경기 , 광주시 , 여 ,1491,46013,3146344440
2018, 경기 , 양주시 , 남 ,924,34306,2457933850
2018, 경기 , 양주시 , 여 ,2038,83778,5867942670
2018, 경기 , 포천시 , 남 ,499,14897,1025392180
2018, 경기 , 포천시 , 여 ,1250,35011,2422314630
2018, 경기 , 여주시 , 남 ,424,18958,1357859950
2018, 경기 , 여주시 , 여 ,1067,58956,4233545680
2018, 강원 , 고성군 , 남 ,18,95,477850
2018, 강원 , 고성군 , 여 ,51,177,928630
2018, 강원 , 양구군 , 남 ,50,159,3166540
2018, 강원 , 양구군 , 여 ,158,728,11810860
2018, 강원 , 양양군 , 남 ,22,82,417850
2018, 강원 , 양양군 , 여 ,46,203,1146910
2018, 강원 , 영월군 , 남 ,154,595,26108530
2018, 강원 , 영월군 , 여 ,449,2142,52774340
2018, 강원 , 인제군 , 남 ,11,38,453890
2018, 강원 , 인제군 , 여 ,42,232,8498220
2018, 강원 , 정선군 , 남 ,42,128,6331920
2018, 강원 , 정선군 , 여 ,66,542,8908170
2018, 강원 , 철원군 , 남 ,138,5603,418830490
2018, 강원 , 철원군 , 여 ,317,21319,1594477700
2018, 강원 , 평창군 , 남 ,34,893,68524020
2018, 강원 , 평창군 , 여 ,87,3814,285478740
2018, 강원 , 홍천군 , 남 ,247,3141,165710190
2018, 강원 , 홍천군 , 여 ,557,10285,606769850
2018, 강원 , 화천군 , 남 ,26,117,1471140
2018, 강원 , 화천군 , 여 ,71,277,3701610
2018, 강원 , 횡성군 , 남 ,132,608,24179050
2018, 강원 , 횡성군 , 여 ,313,1650,48859640
2018, 강원 , 강릉시 , 남 ,989,8207,552748130
2018, 강원 , 강릉시 , 여 ,2197,25404,1550901670
2018, 강원 , 동해시 , 남 ,382,6209,491920960
2018, 강원 , 동해시 , 여 ,888,22719,1733485400
2018, 강원 , 속초시 , 남 ,230,3368,218242110
2018, 강원 , 속초시 , 여 ,775,13985,902554560
2018, 강원 , 원주시 , 남 ,1094,15435,1119603790
2018, 강원 , 원주시 , 여 ,2460,38495,2518322070
2018, 강원 , 춘천시 , 남 ,1006,18324,1372484080
2018, 강원 , 춘천시 , 여 ,2202,38984,2584444740
2018, 강원 , 태백시 , 남 ,153,875,49229240
2018, 강원 , 태백시 , 여 ,336,2069,94237660
2018, 강원 , 삼척시 , 남 ,232,1754,72825200
2018, 강원 , 삼척시 , 여 ,621,8070,433759930
2018, 충북 , 괴산군 , 남 ,209,1274,92134490
2018, 충북 , 괴산군 , 여 ,507,2125,100944570
2018, 충북 , 단양군 , 남 ,58,3289,227232190
2018, 충북 , 단양군 , 여 ,143,11270,803637460
2018, 충북 , 보은군 , 남 ,215,13468,974496140
2018, 충북 , 보은군 , 여 ,474,29892,2207972210
2018, 충북 , 영동군 , 남 ,348,16905,1226420760
2018, 충북 , 영동군 , 여 ,921,58129,4280259910
2018, 충북 , 옥천군 , 남 ,367,17638,1370077930
2018, 충북 , 옥천군 , 여 ,853,61434,4693469290
2018, 충북 , 음성군 , 남 ,329,11296,857466430
2018, 충북 , 음성군 , 여 ,786,26928,1842897620
2018, 충북 , 진천군 , 남 ,295,6373,407594510
2018, 충북 , 진천군 , 여 ,788,17377,1121891050
2018, 충북 , 증평군 , 남 ,147,761,15748610
2018, 충북 , 증평군 , 여 ,418,2061,44688710
2018, 충북 , 청주상당구 , 남 ,871,7192,374986680
2018, 충북 , 청주상당구 , 여 ,2137,19540,1044230310
2018, 충북 , 청주흥덕구 , 남 ,446,5854,405115440
2018, 충북 , 청주흥덕구 , 여 ,1202,28632,2005511910
2018, 충북 , 청주청원구 , 남 ,437,8854,640503450
2018, 충북 , 청주청원구 , 여 ,990,19945,1459401700
2018, 충북 , 청주서원구 , 남 ,1005,16454,1106093580
2018, 충북 , 청주서원구 , 여 ,2958,61838,4024867740
2018, 충북 , 충주시 , 남 ,767,21198,1620728930
2018, 충북 , 충주시 , 여 ,1732,67517,5070099860
2018, 충북 , 제천시 , 남 ,520,13628,991651420
2018, 충북 , 제천시 , 여 ,1294,55178,3994078190
2018, 충남 , 금산군 , 남 ,492,11995,801871810
2018, 충남 , 금산군 , 여 ,1117,45725,3229164100
2018, 충남 , 부여군 , 남 ,553,24689,1641203500
2018, 충남 , 부여군 , 여 ,1310,60636,4137369520
2018, 충남 , 서천군 , 남 ,435,27308,1828847840
2018, 충남 , 서천군 , 여 ,1072,101372,7081749270
2018, 충남 , 예산군 , 남 ,312,2252,101548970
2018, 충남 , 예산군 , 여 ,713,6087,281307710
2018, 충남 , 청양군 , 남 ,229,7326,497467050
2018, 충남 , 청양군 , 여 ,482,20688,1429594200
2018, 충남 , 홍성군 , 남 ,944,25183,1759729200
2018, 충남 , 홍성군 , 여 ,2111,79783,5680638210
2018, 충남 , 태안군 , 남 ,146,6878,495125130
2018, 충남 , 태안군 , 여 ,480,39968,2909190280
2018, 충남 , 천안서북구 , 남 ,901,24159,1680611970
2018, 충남 , 천안서북구 , 여 ,2520,73060,4959953580
2018, 충남 , 천안동남구 , 남 ,1284,31101,2588709240
2018, 충남 , 천안동남구 , 여 ,2614,114327,8945265670
2018, 충남 , 공주시 , 남 ,794,40677,3024277900
2018, 충남 , 공주시 , 여 ,1905,120999,8947650330
2018, 충남 , 보령시 , 남 ,421,3890,183425150
2018, 충남 , 보령시 , 여 ,984,9982,399490330
2018, 충남 , 아산시 , 남 ,736,33497,2415833370
2018, 충남 , 아산시 , 여 ,1759,103117,7332294460
2018, 충남 , 서산시 , 남 ,524,7119,413510520
2018, 충남 , 서산시 , 여 ,1331,28049,1794994300
2018, 충남 , 논산시 , 남 ,981,60719,4445327210
2018, 충남 , 논산시 , 여 ,2300,185308,13565804090
2018, 충남 , 계룡시 , 남 ,63,5289,368974950
2018, 충남 , 계룡시 , 여 ,161,9659,630230990
2018, 충남 , 당진시 , 남 ,1028,21435,1327008260
2018, 충남 , 당진시 , 여 ,2366,61599,3848191200
2018, 전북 , 고창군 , 남 ,510,18888,1230593450
2018, 전북 , 고창군 , 여 ,1527,62169,4091529950
2018, 전북 , 무주군 , 남 ,136,2443,137366750
2018, 전북 , 무주군 , 여 ,391,11958,692576190
2018, 전북 , 부안군 , 남 ,417,5705,317998270
2018, 전북 , 부안군 , 여 ,1306,28991,1704405970
2018, 전북 , 순창군 , 남 ,203,25358,1764407660
2018, 전북 , 순창군 , 여 ,567,98009,6929027990
2018, 전북 , 완주군 , 남 ,467,37032,2755783390
2018, 전북 , 완주군 , 여 ,1181,128236,9481528520
2018, 전북 , 임실군 , 남 ,139,12686,884318500
2018, 전북 , 임실군 , 여 ,417,34310,2389112250
2018, 전북 , 장수군 , 남 ,36,213,2850740
2018, 전북 , 장수군 , 여 ,90,363,6829040
2018, 전북 , 진안군 , 남 ,275,2120,39668330
2018, 전북 , 진안군 , 여 ,729,5672,114067330
2018, 전북 , 군산시 , 남 ,1057,40384,2900378160
2018, 전북 , 군산시 , 여 ,2583,169810,12250817480
2018, 전북 , 남원시 , 남 ,526,31885,2241128620
2018, 전북 , 남원시 , 여 ,1394,113723,8078245130
2018, 전북 , 익산시 , 남 ,1476,41762,3180025900
2018, 전북 , 익산시 , 여 ,3704,195027,14296458870
2018, 전북 , 전주완산구 , 남 ,1850,88784,6612111190
2018, 전북 , 전주완산구 , 여 ,4634,342334,25210496030
2018, 전북 , 전주덕진구 , 남 ,1605,64725,4811030540
2018, 전북 , 전주덕진구 , 여 ,4176,271390,20123294230
2018, 전북 , 정읍시 , 남 ,717,37876,2660175570
2018, 전북 , 정읍시 , 여 ,1784,148890,10687944240
